OBJECTID,COMPKEY,COMPTYPE,SEGKEY,DISTANCE,WIDTH,UNITID,UNITTYPE,UNITDESC,BIKE_FACILITY,RACK_CAPACITY,DELINEATOR_POSTS,FINISH_TYPE,SURFACE_TYPE,INSTALL_DATE,MOUNT_TYPE,COLOR,MANUFACTURER,MODEL_TYPE,CONDITION,CONDITION_ASSESSMENT_DATE,SIDE,OWNERSHIP,CURRENT_STATUS,PRIMARYDISTRICTCD,SECONDARYDISTRICTCD,OVERRIDEYN,OVERRIDECOMMENT,Shape,SHAPE_LNG,SHAPE_LAT
1359,518839,16,8165,59,44,BKR-1947,BKR,7TH AVE 0220 BLOCK SW SIDE (  37) 37 FT NW/O BLANCHARD ST                                                                                                                                                                                                      ,SGL,2,N,GALV,PCC,,SUFMT,NONE,BKR-CRMTL,BKR-RLRCK,GOOD,07/17/2009 12:00:00 AM +0000,SW,SDOT,INSVC,DISTRICT7, ,N,,"(47.616610011000034, -122.34035189199994)",-122.340351892906995,47.616610011224196
1360,518838,16,8165,363,44,BKR-1889,BKR,7TH AVE 0220 BLOCK SW SIDE ( 341) 44 FT SE/O BELL ST                                                                                                                                                                                                           ,SGL,2,N,GALV,PCC,,SUFMT,NONE,BKR-CRMTL,BKR-RLRCK,GOOD,07/15/2009 12:00:00 AM +0000,SW,SDOT,INSVC,DISTRICT7, ,N,,"(47.61715696400006, -122.34127676599996)",-122.341276767104006,47.6171569638622
1361,517327,16,8163,209,-34,BKR-785,BKR,7TH AVE 0202 BLOCK NE SIDE ( 129) 91 FT SE/O LENORA ST                                                                                                                                                                                                         ,SGL,2,N,GALV,PCC,,SUFMT,NONE,BKR-CRMTL,BKR-RLRCK,GOOD,07/15/2009 12:00:00 AM +0000,NE,SDOT,INSVC,DISTRICT7, ,N,,"(47.61572991300005, -122.33838241899997)",-122.338382420491001,47.615729913355693
1362,517901,16,12042,54,31,BKR-1300,BKR,OLIVE WAY 0040 BLOCK NW SIDE (  31) 31 FT NE/O 4TH AVE                                                                                                                                                                                                         ,SGL,2,N,GALV,PCC,,SUFMT,NONE,BKR-CRMTL,BKR-RLRCK,GOOD,,NW,SDOT,INSVC,DISTRICT7, ,N,,"(47.61233168700005, -122.33842387499999)",-122.338423876644001,47.612331687040196
1363,519298,16,11011,232,17,BKR-1661,BKR,INTERLAKE AVE N 0443 BLOCK W SIDE ( 219) 15 FT S/O N 45TH ST                                                                                                                                                                                                   ,SGL,2,N,GALV,PCC,,SUFMT,NONE,BKR-ARCRE,BKR-RLRCK,GOOD,07/28/2009 12:00:00 AM +0000,W,SDOT,INSVC,DISTRICT4, ,N,,"(47.66130678300004, -122.34073248199996)",-122.340732483036007,47.661306783248897
1364,619947,16,8290,334,31,BKR-3455,BKR,8TH AVE N 0040 BLOCK W SIDE ( 310) 90 FT S/O REPUBLICAN ST                                                                                                                                                                                                     ,SGL,2,N,GALV,PCC,10/17/2014 12:00:00 AM +0000,SUFMT, , ,BKR-INVRU,GOOD,10/17/2014 12:00:00 AM +0000,W,SDOT,INSVC,DISTRICT7, ,N,,"(47.622965160000035, -122.34118360399998)",-122.34118360571901,47.622965159944798
1365,517723,16,14349,85,27,BKR-769,BKR,E MADISON ST 0170 BLOCK NW SIDE (  62) 62 FT NE/O 17TH AVE                                                                                                                                                                                                     ,SGL,2,N,GALV,PCC-PAD,08/13/2009 12:00:00 AM +0000,SUFMT,NONE,BKR-CRMTL,BKR-INVRU,GOOD,07/20/2009 12:00:00 AM +0000,NW,SDOT,INSVC,DISTRICT3, ,N,,"(47.61577486900006, -122.30991591899999)",-122.309915920807001,47.615774869242692
1366,516845,16,2748,42,-31,BKR-2792,BKR,2ND AVE 0050 BLOCK NE SIDE (  35) 35 FT NW/O YESLER WAY                                                                                                                                                                                                        ,SGL,2,N,GALV,PCC,,SUFMT,NONE,BKR-CRMTL,BKR-RLRCK,GOOD,10/01/2009 12:00:00 AM +0000,NE,SDOT,INSVC,DISTRICT7, ,N,,"(47.601860791000036, -122.33196556499996)",-122.331965566286001,47.601860791252093
1367,518457,16,8290,148,-31,BKR-653,BKR,8TH AVE N 0040 BLOCK E SIDE ( 125) 125 FT N/O HARRISON ST                                                                                                                                                                                                      ,SGL,2,N,GALV,PCC,03/17/2008 12:00:00 AM +0000,SUFMT,NONE,BKR-CRMTL,BKR-INVRU,GOOD,07/23/2009 12:00:00 AM +0000,E,SDOT,INSVC,DISTRICT7, ,N,,"(47.62245548000004, -122.34093686099999)",-122.340936862808007,47.622455479979998
1368,518902,16,21737,52,41,BKR-2719,BKR,SW ALASKA ST 0410 BLOCK S SIDE (  39) 39 FT W/O 41ST AVE SW                                                                                                                                                                                                    ,SGL,2,N,GALV,PCC,,SUFMT,NONE,BKR-CRMTL,BKR-RLRCK,GOOD,08/10/2009 12:00:00 AM +0000,S,SDOT,INSVC,DISTRICT1, ,N,,"(47.56095301500005, -122.38434845399996)",-122.384348454892006,47.560953014752002
1369,619190,16,1255,113,-24,BKR-3446,BKR,1ST AVE W 0190 BLOCK E SIDE ( 100) 100 FT N/O W HOWE ST                                                                                                                                                                                                        ,ONST,6,Y,GALV,AC,11/27/2014 12:00:00 AM +0000, , , , ,GOOD,11/10/2014 12:00:00 AM +0000,E,SDOT,INSVC,DISTRICT7, ,N,,"(47.63626431500006, -122.35819480699996)",-122.358194808142002,47.636264315010898
1370,516826,16,1255,173,21,BKR-881,BKR,1ST AVE W 0190 BLOCK W SIDE ( 173) 173 FT N/O W HOWE ST                                                                                                                                                                                                        ,SGL,10,N,GALV,PCC,04/13/2009 12:00:00 AM +0000,SUFMT,NONE,BKR-CORA,BKR-W7510,GOOD,07/27/2009 12:00:00 AM +0000,W,SDOT,INSVC,DISTRICT7, ,N,,"(47.63642939300007, -122.35837538799996)",-122.358375389038002,47.636429393280203
1371,619112,16,21537,1019,24,BKR-3434,BKR,S WELLER ST 0120 BLOCK N SIDE (1006) 70 FT W/O RAINIER AVE S                                                                                                                                                                                                   ,SGL,4,N,GALV,OTHER,11/17/2014 12:00:00 AM +0000,SUFMT, , ,BKR-W2704,GOOD,09/01/2016 12:00:00 AM +0000,N,SDOT,INSVC,DISTRICT3, ,N,,"(47.59755804100007, -122.31309986499997)",-122.313099866054998,47.597558040866097
1372,609795,16,14718,63,-17,BKR-3347,BKR,E REPUBLICAN ST 0320 BLOCK S SIDE (  50) 50 FT E/O 32ND AVE E                                                                                                                                                                                                  ,CLSTR,10,N,GALV,PCC,01/10/2014 12:00:00 AM +0000,SUFMT, , ,BKR-INVRU,GOOD,06/01/2015 12:00:00 AM +0000,S,SDOT,INSVC,DISTRICT3, ,N,,"(47.62354275900003, -122.29090278899997)",-122.290902790652012,47.623542759253901
1373,517729,16,12568,25.5,-17,BKR-752,BKR,REPUBLICAN ST 0130 BLOCK S SIDE (  11) 11 FT E/O YALE AVE N                                                                                                                                                                                                    ,SGL,2,N,GALV,PCC,03/18/2009 12:00:00 AM +0000,SUFMT,NONE,BKR-CRMTL,BKR-INVRU,GOOD,07/22/2009 12:00:00 AM +0000,S,SDOT,INSVC,DISTRICT7, ,N,,"(47.62307689200003, -122.33033125899999)",-122.330331260643007,47.623076891625296
1374,518076,16,21533,117,-31,BKR-300,BKR,S WELLER ST 0065 BLOCK S SIDE (  96) 34 FT W/O MAYNARD AL S                                                                                                                                                                                                    ,SGL,2,N,GALV,PCC,06/15/2006 12:00:00 AM +0000,STBS,NONE,BKR-CRMTL,BKR-CRRKB,GOOD,,S,SDOT,INSVC,DISTRICT2, ,N,,"(47.59742709200003, -122.32459184299995)",-122.324591844300997,47.597427092329795
1375,574227,16,12568,227.5,-17,BKR-3019,BKR,REPUBLICAN ST 0130 BLOCK S SIDE ( 213) 76 FT W/O EASTLAKE AVE E                                                                                                                                                                                                ,SGL,2,N,GALV,PCC,01/04/2012 12:00:00 AM +0000,SUFMT,GRY,BKR-CRMTL,BKR-RLRCK,GOOD,01/18/2012 12:00:00 AM +0000,S,SDOT,INSVC,DISTRICT7, ,N,,"(47.623079303000054, -122.32951409299994)",-122.329514094689017,47.623079302822497
1376,516932,16,2753,219.5,-34,BKR-1417,BKR,2ND AVE 0100 BLOCK NE SIDE ( 198) 62 FT SE/O SPRING ST                                                                                                                                                                                                         ,SGL,4,N,PAINT,PCC,,SUFMT,BLK,BKR-CORA,BKR-W2704,GOOD,,NE,SDOT,INSVC,DISTRICT7, ,N,,"(47.60571835300004, -122.33547855199998)",-122.335478552946,47.605718353328896
1377,518889,16,1859,350,17,BKR-1404,BKR,14TH AVE E 0040 BLOCK W SIDE ( 337) 58 FT S/O E REPUBLICAN ST                                                                                                                                                                                                  ,SGL,2,N,GALV,PCC,07/13/2009 12:00:00 AM +0000,SUFMT,NONE,BKR-CRMTL,BKR-RLRCK,GOOD,07/22/2009 12:00:00 AM +0000,W,SDOT,INSVC,DISTRICT3, ,N,,"(47.622913192000055, -122.31472595799994)",-122.314725959073996,47.622913191992097
1378,516933,16,2753,166.5,-34,BKR-1358,BKR,2ND AVE 0100 BLOCK NE SIDE ( 145) 115 FT SE/O SPRING ST                                                                                                                                                                                                        ,SGL,4,N,PAINT,PCC,,SUFMT,BLK,BKR-CORA,BKR-W2704,GOOD,,NE,SDOT,INSVC,DISTRICT7, ,N,,"(47.605595211000036, -122.33536591299998)",-122.335365914651007,47.605595211058201
